ion	candidate	window	file	bytes	verification
NaCl	LiLC-1	window_001_0.79nm	umbrella.xtc	318811048	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_004_1.01nm	umbrella_eq.xtc	79822312	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_004_1.01nm	umbrella.xtc	318810716	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_008_1.31nm	umbrella_eq.xtc	79822668	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_008_1.31nm	umbrella.xtc	318812016	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_011_1.54nm	umbrella_eq.xtc	79822500	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_011_1.54nm	umbrella.xtc	318811620	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_009_1.39nm	umbrella_eq.xtc	79822776	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_009_1.39nm	umbrella.xtc	318810520	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_013_1.69nm	umbrella_eq.xtc	79821752	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_013_1.69nm	umbrella.xtc	318811760	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_015_1.23nm	umbrella_eq.xtc	124050072	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_015_1.23nm	umbrella.xtc	495455876	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_003_0.33nm	umbrella_eq.xtc	124049416	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_003_0.33nm	umbrella.xtc	495455420	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_014_1.16nm	umbrella_eq.xtc	124049280	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_014_1.16nm	umbrella.xtc	495455192	finished_mdrun+final_gro+critical_sha256
NaCl	LiD3-Flex	window_021_1.68nm	umbrella_eq.xtc	124049796	finished_mdrun+final_gro+critical_sha256
